topic,title,description,date_created,nasa_id,media_type,thumbnail
Mars rover,Mars Rover Studies Soil on Mars,Mars Rover Studies Soil on Mars,2004-11-30 21:29:24+00:00,PIA07081,image,https://images-assets.nasa.gov/image/PIA07081/PIA07081~small.jpg
Mars rover,Frost on Mars Rover Opportunity,Frost on Mars Rover Opportunity,2004-12-13 16:58:00+00:00,PIA07108,image,https://images-assets.nasa.gov/image/PIA07108/PIA07108~thumb.jpg
Mars rover,Artist Concept of Rover on Mars,An artist concept portrays a NASA Mars Exploration Rover on the surface of Mars. Two rovers were launched in 2003 and arrived at sites on Mars in January 2004.,2003-02-26 21:03:33+00:00,PIA04413,image,https://images-assets.nasa.gov/image/PIA04413/PIA04413~medium.jpg
Mars rover,Mars Exploration Rover,Mars Exploration Rover MER spacecraft -- areoshell encapsulating the rover and lander plus cruise stage.,2003-10-30 21:34:03+00:00,PIA04824,image,https://images-assets.nasa.gov/image/PIA04824/PIA04824~small.jpg
Mars rover,Mars Exploration Rover,Mars Exploration Rover MER spacecraft -- areoshell encapsulating the rover and lander plus cruise stage.,2003-10-30 21:34:01+00:00,PIA04823,image,https://images-assets.nasa.gov/image/PIA04823/PIA04823~small.jpg
Mars rover,Mars Exploration Rover,Mars Exploration Rover MER spacecraft -- areoshell encapsulating the rover and lander plus cruise stage.,2003-10-30 21:34:06+00:00,PIA04825,image,https://images-assets.nasa.gov/image/PIA04825/PIA04825~thumb.jpg
Mars rover,Cameras on Mars 2020 Rover,"This image presents a selection of the 23 cameras on NASA's 2020 Mars rover. Many are improved versions of the cameras on the Curiosity rover, with a few new additions as well.  https://photojournal.jpl.nasa.gov/catalog/PIA22103",2017-10-31 00:00:00+00:00,PIA22103,image,https://images-assets.nasa.gov/image/PIA22103/PIA22103~medium.jpg
Mars rover,Payload for NASA Mars 2020 Rover,This diagram shows components of the investigations payload for NASA Mars 2020 rover mission.,2014-07-31 17:33:59+00:00,PIA18405,image,https://images-assets.nasa.gov/image/PIA18405/PIA18405~small.jpg
Mars rover,Dusty Mars Rover Self Portrait,"This mosaic of images was taken by NASA Mars Exploration Rover Opportunity during December of 2011. The accumulation of dust reduces the rover power supply, and the rover mobility is limited until the winter is over or wind cleans the panels.",2012-02-17 17:59:14+00:00,PIA15115,image,https://images-assets.nasa.gov/image/PIA15115/PIA15115~medium.jpg
Mars rover,Mars Exploration Rover,"Mars Exploration Rover MER spacecraft. This image shows the aeroshell, which includes the backshell as well as the heatshield.",2003-10-30 21:33:59+00:00,PIA04822,image,https://images-assets.nasa.gov/image/PIA04822/PIA04822~thumb.jpg
