source,target,weight
Vicky Ward,Jeffrey Epstein,8
Vicky Ward,Lesley Groff,1
Vicky Ward,Faith Kates,1
Vicky Ward,Gmax,1
Vicky Ward,Ghislaine Maxwell,1
Vicky Ward,Landon Thomas,2
Vicky Ward,Landon Thomas Jr.,2
Danny Goldberg,Paul Krassner,1
Danny Goldberg,paul krassner,1
Danny Goldberg,Kevin Bright,1
James Ramsey,Jeffrey Epstein,2
James Ramsey,Janet Kafka,2
James Ramsey,Joel Dunn,1
James Ramsey,Terry Kafka,2
James Ramsey,ACT for America,2
James Ramsey,Adj Kearsarge,2
James Ramsey,Allen West,2
James Ramsey,Bennet Greenwald,1
James Ramsey,Bennett Schmidt,2
James Ramsey,Dennis Prager,1
James Ramsey,Forrest Miller,2
James Ramsey,Gary Gross,2
James Ramsey,Grant Seeger,2
James Ramsey,Henry Hortenstine,2
James Ramsey,Herb Goodman,2
James Ramsey,House,1
James Ramsey,John Zouzelka,2
James Ramsey,Lisa Albert,1
James Ramsey,Marcie Brown,2
James Ramsey,Mark Epstein,2
James Ramsey,Marshall Funk,2
James Ramsey,Michael Horowitz,1
James Ramsey,Michael Pis,2
James Ramsey,Michael Stechel Buchholtz,1
James Ramsey,Mike Cohen,2
James Ramsey,Nate McClain,1
James Ramsey,Nate White,2
James Ramsey,Neil Anderson,2
James Ramsey,Philip Kafka,2
James Ramsey,Rafael Bardaji,2
James Ramsey,Rita Hortenstine,2
James Ramsey,Taal Safdie,2
James Ramsey,Uri Fouzailov,2
James Ramsey,Val Sherman,2
Jacqui Safra,Jeffrey Epstein,1
Jacqui Safra,John Brockman,1
Jacqui Safra,Bill Gates,1
Jacqui Safra,Bill Joy,1
Jacqui Safra,Charles Simonyi,1
Jacqui Safra,Craig Venter,1
Jacqui Safra,Danny Hillis,1
Jacqui Safra,Dean Kamen,1
Jacqui Safra,Elon Musk,1
Jacqui Safra,Eric Schmidt,1
Jacqui Safra,Evan Williams,1
Jacqui Safra,Hubert Burda,1
Jacqui Safra,Jean Pigozzi,1
Jacqui Safra,Jeff Bezos,1
Jacqui Safra,Jeff Skoll,1
Jacqui Safra,Jimmy Wales,1
Jacqui Safra,John Doerr,1
Jacqui Safra,Kary Mullis,1
Jacqui Safra,Larry Page,1
Jacqui Safra,Maja Hoffman,1
Jacqui Safra,Marissa Mayer,1
Jacqui Safra,Mark Zuckerberg,1
Jacqui Safra,Miuccia Prada,1
Jacqui Safra,Nathan Myhrvold,1
Jacqui Safra,Nick Pritzker,1
Jacqui Safra,Paul Allen,1
Jacqui Safra,Pierre Omidyar,1
Jacqui Safra,Ricardo Salinas Pilego,1
Jacqui Safra,Salar Kamangar,1
Jacqui Safra,Sean Parker,1
Jacqui Safra,Sergey Brin,1
Jacqui Safra,Steve Case,1
Jacqui Safra,Tony Fadell,1
Jacqui Safra,Vinod Khosla,1
Virginia Hughes,Jeffrey Epstein,3
Virginia Hughes,Lawrence Krauss,6
Virginia Hughes,Peter Aldhous,6
Virginia Hughes,Azeen Ghorayshi,6
Virginia Hughes,Cynthia Jewett,6
Virginia Hughes,Erin Ellison,6
Virginia Hughes,Kiaran Kirk,6
Virginia Hughes,Susan Nickel-Schindewolf,6
Ghislaine Maxwell,Jeffrey Epstein,4
Ghislaine Maxwell,Alan Dershowitz,3
Ghislaine Maxwell,Bradley Edwards,2
Ghislaine Maxwell,Jack Scarola,2
Ghislaine Maxwell,Kathy Ruemmler,2
Ghislaine Maxwell,Larry Summers,2
Ghislaine Maxwell,Paul Cassell,2
Ghislaine Maxwell,Virginia Roberts,2
Ghislaine Maxwell,Larry Visoski,1
Lisa Albert,Jeffrey Epstein,1
Lisa Albert,Janet Kafka,1
Lisa Albert,Joel Dunn,1
Lisa Albert,Terry Kafka,1
Lisa Albert,ACT for America,1
Lisa Albert,Adj Kearsarge,1
Lisa Albert,Allen West,1
Lisa Albert,Bennet Greenwald,1
Lisa Albert,Bennett Schmidt,1
Lisa Albert,Dennis Prager,1
Lisa Albert,Forrest Miller,1
Lisa Albert,Gary Gross,1
Lisa Albert,Grant Seeger,1
Lisa Albert,Henry Hortenstine,1
Lisa Albert,Herb Goodman,1
Lisa Albert,House,1
Lisa Albert,John Zouzelka,1
Lisa Albert,Marcie Brown,1
Lisa Albert,Mark Epstein,1
Lisa Albert,Marshall Funk,1
Lisa Albert,Michael Horowitz,1
Lisa Albert,Michael Pis,1
Lisa Albert,Michael Stechel Buchholtz,1
Lisa Albert,Mike Cohen,1
Lisa Albert,Nate McClain,1
Lisa Albert,Nate White,1
Lisa Albert,Neil Anderson,1
Lisa Albert,Philip Kafka,1
Lisa Albert,Rafael Bardaji,1
Lisa Albert,Rita Hortenstine,1
Lisa Albert,Taal Safdie,1
Lisa Albert,Uri Fouzailov,1
Lisa Albert,Val Sherman,1
Brad Wechsler,Jeffrey Epstein,6
Brad Wechsler,Darren Indyke,1
Brad Wechsler,Lesley Groff,2
Brad Wechsler,Larry,1
Brad Wechsler,Richard Kahn,2
Brad Wechsler,Barry J. Cohen,2
Brad Wechsler,Heather Gray,2
Brad Wechsler,Joe Avantario,2
Brad Wechsler,John Castrucci,3
Brad Wechsler,Larry Delson,2
Brad Wechsler,Leon,1
