id,label,degree,degree_centrality_x,betweenness_centrality_x,community,degree_centrality_y,betweenness_centrality_y,eigenvector_centrality
Jeffrey Epstein,Jeffrey Epstein,991,0.890386343216532,0.8931676701789023,0,0.890386343216532,0.8931676701789023,0.5217695391806184
Peggy Siegal,Peggy Siegal,20,0.017969451931716,0.0022171002087473,1,0.017969451931716084,0.0022171002087473216,0.019388896660633953
Robert D. Critton Jr.,Robert D. Critton Jr.,31,0.0278526504941599,0.0001101833495689,0,0.027852650494159928,0.00011018334956893002,0.035120395330691376
Jessica Cadwell,Jessica Cadwell,26,0.0233602875112309,4.289633718166363e-05,0,0.02336028751123091,4.289633718166363e-05,0.03166922399930529
Jack Goldberger,Jack Goldberger,69,0.0619946091644204,0.0021420714511111,0,0.06199460916442049,0.0021420714511111313,0.05874762531117985
Darren Indyke,Darren Indyke,121,0.1087151841868823,0.0105568939136038,0,0.10871518418688231,0.01055689391360381,0.08454887101094105
Boris Nikolic,Boris Nikolic,13,0.0116801437556154,4.322687402638536e-05,4,0.011680143755615454,4.322687402638536e-05,0.016613084017901635
Alan Dershowitz,Alan Dershowitz,110,0.0988319856244384,0.0069666609241989,0,0.09883198562443846,0.006966660924198955,0.09409290452561889
Alan M. Dershowitz,Alan M. Dershowitz,34,0.0305480682839173,0.0001412083906996,0,0.030548068283917342,0.00014120839069964913,0.036687809725349706
Kenneth Starr,Kenneth Starr,39,0.0350404312668463,0.0001470625174845,0,0.03504043126684636,0.00014706251748452937,0.04424349083471962
Lanna Belohlavek,Lanna Belohlavek,31,0.0278526504941599,6.885871261755998e-05,0,0.027852650494159928,6.885871261755998e-05,0.038890737035836245
Martin Weinberg,Martin Weinberg,81,0.0727762803234501,0.0021015187246117,0,0.07277628032345014,0.0021015187246117097,0.06736112145298308
Michael Reiter,Michael Reiter,26,0.0233602875112309,3.769000295498775e-05,0,0.02336028751123091,3.769000295498775e-05,0.031835181446033235
Tom Pritzker,Tom Pritzker,17,0.0152740341419586,6.205278364909151e-05,13,0.015274034141958671,6.205278364909151e-05,0.017323256580961188
Lesley Groff,Lesley Groff,79,0.0709793351302785,0.0023009806381884,1,0.07097933513027853,0.002300980638188429,0.06279926859760351
Faith Kates,Faith Kates,11,0.0098831985624438,0.004945454495087,8,0.009883198562443846,0.004945454495087023,0.01356770953339179
Gmax,Gmax,13,0.0116801437556154,3.7097184608286246e-05,0,0.011680143755615454,3.7097184608286246e-05,0.017806490954667263
John Brockman,John Brockman,35,0.0314465408805031,0.0004212802264926,4,0.031446540880503145,0.00042128022649266057,0.05138625393645645
Paul Prosperi,Paul Prosperi,3,0.0026954177897574,0.0034937009960764,29,0.0026954177897574125,0.003493700996076454,0.012075202057155334
GMAX,GMAX,18,0.0161725067385444,7.902184615665578e-05,0,0.016172506738544475,7.902184615665578e-05,0.02349666693468792
Jay Lefkowitz,Jay Lefkowitz,27,0.0242587601078167,0.0001576304562352,0,0.02425876010781671,0.00015763045623523822,0.03254814440682989
Stephanie,Stephanie,5,0.004492362982929,0.0003461018207038,1,0.004492362982929021,0.0003461018207038082,0.01435712608917925
Ghislaine Maxwell,Ghislaine Maxwell,30,0.0269541778975741,8.244848095339668e-05,0,0.026954177897574125,8.244848095339668e-05,0.03894483580920344
Darren lndyke,Darren lndyke,27,0.0242587601078167,0.0004104751694146,0,0.02425876010781671,0.0004104751694146487,0.029216768610047104
Vicky Ward,Vicky Ward,9,0.0080862533692722,3.673610976447951e-05,8,0.008086253369272238,3.673610976447951e-05,0.01651512391866499
Landon Thomas,Landon Thomas,4,0.0035938903863432,0.0008106683694246,8,0.0035938903863432167,0.0008106683694246009,0.012917857526701427
Landon Thomas Jr.,Landon Thomas Jr.,20,0.017969451931716,0.0011123638632413,8,0.017969451931716084,0.0011123638632413297,0.019751957950523286
Bill Siegel,Bill Siegel,5,0.004492362982929,0.004365510287188,0,0.004492362982929021,0.004365510287188039,0.012374509379446019
Lawrence Krauss,Lawrence Krauss,22,0.0197663971248876,0.0030345939842482,12,0.019766397124887692,0.003034593984248242,0.017694181019404044
Larry,Larry,37,0.0332434860736747,0.0001881388072162,1,0.033243486073674756,0.00018813880721623656,0.04354322050755813
Richard Kahn,Richard Kahn,95,0.0853548966756514,0.0050399017309783,1,0.0853548966756514,0.0050399017309783875,0.0634154845749898
