id,label,degree,degree_centrality,betweenness_centrality,community
John Page,John Page,10,0.008984725965858042,4.0398947688210616e-07,14
Kirk Blouin,Kirk Blouin,10,0.008984725965858042,4.0398947688210616e-07,14
Mr. Fried,Mr. Fried,10,0.008984725965858042,4.0398947688210616e-07,14
Mr. Randolph,Mr. Randolph,10,0.008984725965858042,4.0398947688210616e-07,14
Ms. Van Buren,Ms. Van Buren,10,0.008984725965858042,4.0398947688210616e-07,14
Ray Royce,Ray Royce,10,0.008984725965858042,4.0398947688210616e-07,14
Rob Walton,Rob Walton,8,0.0071877807726864335,0.0,14
Sgt. Krauel,Sgt. Krauel,10,0.008984725965858042,4.0398947688210616e-07,14
Tim Frank,Tim Frank,10,0.008984725965858042,4.0398947688210616e-07,14
Mr. Walton,Mr. Walton,9,0.008086253369272238,0.0,14
Police Code Enforcement,Police Code Enforcement,9,0.008086253369272238,0.0,14
Anne Boyles,Anne Boyles,2,0.0017969451931716084,0.0,28
Cheryl Kleen,Cheryl Kleen,2,0.0017969451931716084,0.0,28
Kathleen Ruderman,Kathleen Ruderman,2,0.0017969451931716084,0.0,28
Jeffrey Epstein,Jeffrey Epstein,991,0.890386343216532,0.8931676701789023,0
Sultan Ahmed Bin Sulayem,Sultan Ahmed Bin Sulayem,1,0.0008984725965858042,0.0,0
Steven Elkman,Steven Elkman,9,0.008086253369272238,0.0,13
Steven Munro Elkman,Steven Munro Elkman,9,0.008086253369272238,0.0,13
Peggy Siegal,Peggy Siegal,20,0.017969451931716084,0.0022171002087473216,1
David Grosof,David Grosof,1,0.0008984725965858042,0.0,0
Sultan Bin Sulayem,Sultan Bin Sulayem,4,0.0035938903863432167,2.4239368612926367e-06,0
Faith Kate,Faith Kate,1,0.0008984725965858042,0.0,0
Bradley J. Edwards,Bradley J. Edwards,6,0.005390835579514825,0.0,0
Robert D. Critton Jr.,Robert D. Critton Jr.,31,0.027852650494159928,0.00011018334956893002,0
Jacquie Johnson,Jacquie Johnson,6,0.005390835579514825,0.0,0
Jessica Cadwell,Jessica Cadwell,26,0.02336028751123091,4.289633718166363e-05,0
Connie Zaguirre,Connie Zaguirre,6,0.005390835579514825,0.0,0
Jack Goldberger,Jack Goldberger,69,0.06199460916442049,0.0021420714511111313,0
Darren Indyke,Darren Indyke,121,0.10871518418688231,0.01055689391360381,0
Howard Rubenstein,Howard Rubenstein,8,0.0071877807726864335,2.585532652045479e-06,0
Rush George,Rush George,5,0.004492362982929021,0.0,0
George Rush,George Rush,7,0.006289308176100629,1.3196989578148802e-06,0
Michael J. Pike,Michael J. Pike,6,0.005390835579514825,1.373564221399161e-06,0
Mortimer Zuckerman,Mortimer Zuckerman,8,0.0071877807726864335,1.1531013925863547e-05,0
Grant J. Smith,Grant J. Smith,3,0.0026954177897574125,0.0,26
Ken Jenne,Ken Jenne,3,0.0026954177897574125,0.0,26
Robert C. Buschel,Robert C. Buschel,3,0.0026954177897574125,0.0,26
Sam Fields,Sam Fields,3,0.0026954177897574125,0.0,26
Roger Schank,Roger Schank,1,0.0008984725965858042,0.0,0
Peter Mandelson,Peter Mandelson,8,0.0071877807726864335,1.812181367728305e-05,0
Joel,Joel,4,0.0035938903863432167,1.185035798854178e-06,0
Stephen Hanson,Stephen Hanson,4,0.0035938903863432167,1.185035798854178e-06,0
Steve Hanson,Steve Hanson,3,0.0026954177897574125,0.0,0
Brian Baker,Brian Baker,1,0.0008984725965858042,0.0,0
Jes Staley,Jes Staley,5,0.004492362982929021,5.117200040506677e-06,8
PETER MANDELSON,PETER MANDELSON,2,0.0017969451931716084,0.0,8
Boris Nikolic,Boris Nikolic,13,0.011680143755615454,4.322687402638536e-05,4
Joseph Evangelisti,Joseph Evangelisti,2,0.0017969451931716084,0.0,8
Alan Dershowitz,Alan Dershowitz,110,0.09883198562443846,0.006966660924198955,0
Alan M. Dershowitz,Alan M. Dershowitz,34,0.030548068283917342,0.00014120839069964913,0
Barry Krischer,Barry Krischer,22,0.019766397124887692,9.160592553716328e-07,0
H.C. Clark II,H.C. Clark II,22,0.019766397124887692,9.160592553716328e-07,0
Jill,Jill,15,0.013477088948787063,0.0,0
Kenneth Starr,Kenneth Starr,39,0.03504043126684636,0.00014706251748452937,0
Lanna Belohlavek,Lanna Belohlavek,31,0.027852650494159928,6.885871261755998e-05,0
