id,degree_x,degree_centrality_x,betweenness_centrality_x,eigenvector_centrality,closeness_centrality,label,degree_y,degree_centrality_y,betweenness_centrality_y,community
John Page,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,John Page,10,0.008984725965858,4.039894768821062e-07,14
Kirk Blouin,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Kirk Blouin,10,0.008984725965858,4.039894768821062e-07,14
Mr. Fried,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Mr. Fried,10,0.008984725965858,4.039894768821062e-07,14
Mr. Randolph,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Mr. Randolph,10,0.008984725965858,4.039894768821062e-07,14
Ms. Van Buren,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Ms. Van Buren,10,0.008984725965858,4.039894768821062e-07,14
Ray Royce,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Ray Royce,10,0.008984725965858,4.039894768821062e-07,14
Rob Walton,8,0.0071877807726864335,0.0,1.8419088352928308e-19,0.007487271638215035,Rob Walton,8,0.0071877807726864,0.0,14
Sgt. Krauel,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Sgt. Krauel,10,0.008984725965858,4.039894768821062e-07,14
Tim Frank,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Tim Frank,10,0.008984725965858,4.039894768821062e-07,14
Mr. Walton,9,0.008086253369272238,0.0,2.0543032739616287e-19,0.008167932696234583,Mr. Walton,9,0.0080862533692722,0.0,14
Police Code Enforcement,9,0.008086253369272238,0.0,2.0543032739616287e-19,0.008167932696234583,Police Code Enforcement,9,0.0080862533692722,0.0,14
Anne Boyles,2,0.0017969451931716084,0.0,8.022041875450135e-35,0.0017969451931716084,Anne Boyles,2,0.0017969451931716,0.0,28
Cheryl Kleen,2,0.0017969451931716084,0.0,8.022041875450135e-35,0.0017969451931716084,Cheryl Kleen,2,0.0017969451931716,0.0,28
Kathleen Ruderman,2,0.0017969451931716084,0.0,8.022041875450135e-35,0.0017969451931716084,Kathleen Ruderman,2,0.0017969451931716,0.0,28
Jeffrey Epstein,991,0.890386343216532,0.8931676701789023,0.5217695391806184,0.8938156279363251,Jeffrey Epstein,991,0.890386343216532,0.8931676701789023,0
Sultan Ahmed Bin Sulayem,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Sultan Ahmed Bin Sulayem,1,0.0008984725965858,0.0,0
Steven Elkman,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Steven Elkman,9,0.0080862533692722,0.0,13
