id,degree,degree_centrality,betweenness_centrality,eigenvector_centrality,closeness_centrality,label,community,sector,role,is_notable
John Page,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,John Page,0,unknown,unknown,0
Kirk Blouin,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Kirk Blouin,0,unknown,unknown,0
Mr. Fried,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Mr. Fried,0,unknown,unknown,0
Mr. Randolph,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Mr. Randolph,0,unknown,unknown,0
Ms. Van Buren,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Ms. Van Buren,0,unknown,unknown,0
Ray Royce,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Ray Royce,0,unknown,unknown,0
Rob Walton,8,0.0071877807726864335,0.0,1.8419088352928308e-19,0.007487271638215035,Rob Walton,0,unknown,unknown,0
Sgt. Krauel,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Sgt. Krauel,0,unknown,unknown,0
Tim Frank,10,0.008984725965858042,4.0398947688210616e-07,2.226894083477703e-19,0.008984725965858042,Tim Frank,0,unknown,unknown,0
Mr. Walton,9,0.008086253369272238,0.0,2.0543032739616287e-19,0.008167932696234583,Mr. Walton,0,unknown,unknown,0
Police Code Enforcement,9,0.008086253369272238,0.0,2.0543032739616287e-19,0.008167932696234583,Police Code Enforcement,0,unknown,unknown,0
Anne Boyles,2,0.0017969451931716084,0.0,8.022041875450135e-35,0.0017969451931716084,Anne Boyles,1,unknown,unknown,0
Cheryl Kleen,2,0.0017969451931716084,0.0,8.022041875450135e-35,0.0017969451931716084,Cheryl Kleen,1,unknown,unknown,0
Kathleen Ruderman,2,0.0017969451931716084,0.0,8.022041875450135e-35,0.0017969451931716084,Kathleen Ruderman,1,unknown,unknown,0
Jeffrey Epstein,991,0.890386343216532,0.8931676701789023,0.5217695391806184,0.8938156279363251,Jeffrey Epstein,21,unknown,unknown,0
Sultan Ahmed Bin Sulayem,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Sultan Ahmed Bin Sulayem,21,unknown,unknown,0
Steven Elkman,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Steven Elkman,2,unknown,unknown,0
Steven Munro Elkman,9,0.008086253369272238,0.0,0.014868515566199433,0.46773574138345636,Steven Munro Elkman,2,unknown,unknown,0
Peggy Siegal,20,0.017969451931716084,0.0022171002087473216,0.019388896660633953,0.47066039541622473,Peggy Siegal,21,unknown,unknown,0
David Grosof,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,David Grosof,21,unknown,unknown,0
Sultan Bin Sulayem,4,0.0035938903863432167,2.4239368612926367e-06,0.012990852086173335,0.4667000112209598,Sultan Bin Sulayem,21,unknown,unknown,0
Faith Kate,1,0.0008984725965858042,0.0,0.012061990121582438,0.46608077193141406,Faith Kate,21,unknown,unknown,0
Bradley J. Edwards,6,0.005390835579514825,0.0,0.015689570518345654,0.4675282277448657,Bradley J. Edwards,4,unknown,unknown,0
Robert D. Critton Jr.,31,0.027852650494159928,0.00011018334956893002,0.035120395330691376,0.47404796461400234,Robert D. Critton Jr.,4,unknown,unknown,0
Jacquie Johnson,6,0.005390835579514825,0.0,0.015689570518345654,0.4675282277448657,Jacquie Johnson,4,unknown,unknown,0
Jessica Cadwell,26,0.02336028751123091,4.2896337181663636e-05,0.03166922399930529,0.47255992167575206,Jessica Cadwell,4,unknown,unknown,0
Connie Zaguirre,6,0.005390835579514825,0.0,0.015689570518345654,0.4675282277448657,Connie Zaguirre,4,unknown,unknown,0
Jack Goldberger,69,0.06199460916442049,0.0021420714511111313,0.05874762531117985,0.4831768112503105,Jack Goldberger,4,unknown,unknown,0
Darren Indyke,121,0.10871518418688231,0.01055689391360381,0.08454887101094105,0.4968451793196262,Darren Indyke,5,unknown,unknown,0
